state,county,forecast,DemRepRatio
alabama,baldwin,0.382963947819678,0.267253200174375
alabama,calhoun,0.377144699652219,0.29521630811175
alabama,colbert,0.371340276447141,0.302875190590285
alabama,cullman,0.374041429749337,0.108274094491997
alabama,elmore,0.372223793263196,0.257413950533963
alabama,etowah,0.388488085518039,0.245609937360654
alabama,houston,0.388225261057143,0.374481243388396
alabama,jackson,0.38208081549282,0.299306103227783
alabama,jefferson,0.390874680768766,0.486252586841484
alabama,lee,0.38312163567596,0.395615183246073
alabama,madison,0.390383565024791,0.414480266994313
alabama,marshall,0.375108813496048,0.191784766957181
alabama,mobile,0.387625112336197,0.43977046985065
alabama,montgomery,0.383302813506566,0.661548508508044
alabama,morgan,0.385418461926644,0.254801816393247
alabama,shelby,0.385101427583461,0.544681903348836
alabama,st clair,0.371222335730119,0.449089352658146
alabama,tuscaloosa,0.387230560350841,0.424889178911366
alabama,walker,0.383635290127542,0.177369979424213
california,butte,0.584608964109344,0.135251798561151
california,orange,0.592151825171767,0.626646682863217
colorado,adams,0.520363306120297,0.269156247161757
colorado,douglas,0.527596936005185,0.54360916461977
colorado,garfield,0.517144795884235,0.217902317077721
colorado,jefferson,0.527550266310132,0.486252586841484
connecticut,fairfield,0.554377398399745,0.59990218460466
connecticut,hartford,0.553276379289219,0.640535995225954
connecticut,litchfield,0.547266706097832,0.47429679005342
connecticut,middlesex,0.552485950084152,0.713379631191794
connecticut,new haven,0.550828520770821,0.588161144954342
connecticut,new london,0.545296018817814,0.581823107733087
connecticut,tolland,0.538958031970386,0.558951246376078
connecticut,windham,0.536029750569898,0.478199366125307
florida,alachua,0.467044078046498,0.637663851687566
florida,bay,0.462767825427696,0.279290379561885
florida,bradford,0.447710207074709,0.234178153253298
florida,brevard,0.467083154469479,0.416766732504377
florida,broward,0.476302250353905,0.649839680474205
florida,charlotte,0.468271429405281,0.366549388399316
florida,citrus,0.465768705147978,0.293063908961101
florida,clay,0.450105367161986,0.293118418561533
florida,collier,0.4729890615771,0.37575942412052
florida,columbia,0.463002265290253,0.371892459890307
florida,duval,0.469522140416552,0.519322747667164
florida,escambia,0.465522726461582,0.413583074322482
