"","state","county","forecast"
"1","alabama","de kalb",0.328586612494018
"2","arizona","cochise",0.439770919577504
"3","arizona","coconino",0.43069809367259
"4","arizona","maricopa",0.437682808210735
"5","arizona","mohave",0.426494647235672
"6","arizona","navajo",0.427816680848197
"7","arizona","pima",0.432545292108556
"8","arizona","pinal",0.421849600629878
"9","arizona","yavapai",0.43251004277878
"10","arizona","yuma",0.435089696038403
"11","california","alameda",0.551486878758038
"12","california","colusa",0.512872191814663
"13","california","contra costa",0.551721728061145
"14","california","el dorado",0.540447136468357
"15","california","fresno",0.539890426861598
"16","california","imperial",0.53759483558139
"17","california","kern",0.542542120416439
"18","california","kings",0.536775061996731
"19","california","los angeles",0.550397370145173
"20","california","madera",0.528543930308504
"21","california","marin",0.55979751173111
"22","california","mendocino",0.531395137826072
"23","california","merced",0.537870292047767
"24","california","monterey",0.543635859863062
"25","california","napa",0.540956714154872
"26","california","placer",0.546296428135972
"27","california","riverside",0.544499094658485
"28","california","sacramento",0.542565923951302
"29","california","san benito",0.52198744610753
"30","california","san bernardino",0.542626536399077
"31","california","san diego",0.547419244233067
"32","california","san francisco",0.565091594749251
"33","california","san joaquin",0.542378949792552
"34","california","san luis obispo",0.542669255125701
"35","california","san mateo",0.551483004428511
"36","california","santa barbara",0.541936132457939
"37","california","santa clara",0.549951670178799
"38","california","santa cruz",0.544037220911567
"39","california","solano",0.541264766873187
"40","california","sonoma",0.541230129232759
"41","california","stanislaus",0.541041720701312
"42","california","sutter",0.539453023769786
"43","california","tulare",0.530147438909485
"44","california","tuolumne",0.526359621529851
"45","california","ventura",0.549767384104914
"46","california","yolo",0.52927921124957
"47","colorado","alamosa",0.459256148696567
"48","colorado","arapahoe",0.487076866238045
"49","colorado","boulder",0.482332331866631
"50","colorado","broomfield",0.48631749477951
"51","colorado","denver",0.478627946541991
"52","colorado","el paso",0.482585741030894
"53","colorado","la plata",0.473498834442133
"54","colorado","larimer",0.476460109199071
"55","colorado","mesa",0.474438223961598
"56","colorado","montezuma",0.463202479442077
"57","colorado","montrose",0.475847379444376
"58","colorado","pueblo",0.475901448047897
"59","colorado","weld",0.48042320642266
"60","georgia","de kalb",0.440377274284221
"61","illinois","de kalb",0.481644222866184
"62","illinois","du page",0.500094956263617
"63","indiana","bartholomew",0.368657366457964
"64","indiana","daviess",0.354296970677209
"65","indiana","de kalb",0.357487912854834
"66","indiana","dearborn",0.359645951225116
"67","indiana","dubois",0.36813634389125
"68","indiana","elkhart",0.366959547054475
"69","indiana","hendricks",0.363539331434564
"70","indiana","huntington",0.361349372766264
"71","indiana","jennings",0.355280193482798
"72","indiana","kosciusko",0.361175517764637
"73","indiana","la porte",0.366234821265457
"74","indiana","porter",0.363772672307705
"75","indiana","posey",0.356137694914615
"76","indiana","ripley",0.360637274996971
"77","indiana","rush",0.356405331072331
"78","indiana","st joseph",0.37228310173069
"79","indiana","tippecanoe",0.371069979832643
"80","indiana","vanderburgh",0.372038207800666
"81","indiana","vigo",0.370208746532023
"82","indiana","warrick",0.356315400714077
"83","indiana","whitley",0.355964695621508
